Trade,Strategy,Symbol,Side,DateIn,TimeIn,QtyIn,PriceIn,DateOut,TimeOut,QtyOut,PriceOut,Reason,Bars,PctGain,Profit,PctMFE,PctMAE,Fraction,Size,CommsIn,CommsInPct,CommsOut,CommsOutPct,SlipIn,SlipInPct,SlipOut,SlipOutPct,Dividends,FXSize,FxIn,FxOut,NetFX,SavedCalcIn,SavedCalcOut,VolumePct_In,VolumePct_Out
42,ASX_Trend_Following,CRG-201104.au,Long,1997-12-01,open,270.0,13.6178,1997-12-23,open,270.0,13.5818,zero position,14,-0.0062,-22.92,0.0266,-0.0087,0.03,3677,6.6,0.0018,6.6,0.0018,18.29,0.005,18.43,0.005,0.0,3676.81,1,1,0,0,0,0.00746,0.16949
43,ASX_Trend_Following,HVN.au,Long,1997-04-28,open,838.0,6.4825,1997-12-29,open,1689.683,5.2437,zero position,156,0.6392,3472.59,0.7107,-0.005,0.05,5432,6.6,0.0012,7.8,0.0009,27.23,0.005,22.08,0.0025,59.14,5432.34,1,1,0,0,0,0.08473,0.01509
44,ASX_Trend_Following,QCH-200707.au,Long,1997-08-25,open,1000.0,6.231,1998-01-27,open,1000.0,5.6715,zero position,86,-0.0791,-492.7,0.0512,-0.0852,0.05,6231,6.6,0.0011,6.6,0.0012,31.0,0.005,28.5,0.005,80.0,6231.0,1,1,0,0,0,0.1,0.0885
45,ASX_Trend_Following,CYG.au,Long,1996-12-09,open,1067.0,4.7738,1998-02-17,open,1067.0,5.7213,zero position,220,0.2587,1317.88,0.3197,-0.0155,0.05,5094,6.6,0.0013,6.6,0.0011,25.34,0.005,30.68,0.005,320.1,5093.64,1,1,0,0,0,0.40417,0.42869
46,ASX_Trend_Following,WYL-201009.au,Long,1998-01-27,open,967.0,6.5828,1998-02-23,open,967.0,6.1392,zero position,19,-0.0695,-442.16,0.0395,-0.0657,0.05,6366,6.6,0.001,6.6,0.0011,31.67,0.005,29.83,0.005,0.0,6365.57,1,1,0,0,0,0.06679,0.0042
47,ASX_Trend_Following,IBC.au,Long,1998-02-23,open,8519.0,0.7738,1998-03-30,open,8519.0,0.6965,zero position,25,-0.0696,-458.74,0.0,-0.1083,0.05,6592,6.6,0.001,6.6,0.0011,32.37,0.0049,29.82,0.005,212.98,6592.0,1,1,0,0,0,0.01979,0.03818
48,ASX_Trend_Following,SID-200006.au,Long,1997-12-29,open,809.0,7.7385,1998-04-14,open,809.0,6.9153,zero position,71,-0.0826,-517.37,0.0351,-0.1019,0.05,6260,6.6,0.0011,6.6,0.0012,31.15,0.005,28.11,0.005,161.8,6260.45,1,1,0,0,0,1.618,0.00833
49,ASX_Trend_Following,KUP-199805.au,Long,1998-01-19,open,4189.0,1.4875,1998-05-01,close,4189.0,1.592,end of data,64,0.095,592.11,0.1092,-0.0588,0.05,6231,6.6,0.0011,6.6,0.001,31.42,0.005,33.51,0.005,167.56,6231.14,1,1,0,0,0,0.11445,2.99214
50,ASX_Trend_Following,ARG.au,Long,1997-01-06,open,1789.0,2.8643,1998-05-04,open,1850.431,3.3173,zero position,334,0.2903,1487.37,0.4314,-0.0699,0.05,5124,6.6,0.0013,6.6,0.0011,25.49,0.005,29.82,0.0049,486.37,5124.23,1,1,0,0,0,0.01665,0.02149
51,ASX_Trend_Following,EAM-200009.au,Long,1998-01-19,open,4333.0,1.4573,1998-05-18,open,4333.0,1.2438,zero position,81,-0.1194,-754.14,0.0293,-0.1422,0.05,6314,6.6,0.001,6.6,0.0012,31.41,0.005,27.08,0.005,184.15,6314.48,1,1,0,0,0,0.05465,0.13188
52,ASX_Trend_Following,BOQ.au,Long,1998-01-12,open,1139.0,5.5276,1998-05-25,open,1139.0,5.0944,zero position,92,-0.0606,-381.32,0.033,-0.0737,0.05,6296,6.6,0.001,6.6,0.0011,31.38,0.005,29.16,0.005,125.29,6295.94,1,1,0,0,0,0.04727,0.10031
53,ASX_Trend_Following,ALA-200107.au,Long,1997-12-30,open,6612.0,0.9747,1998-06-09,open,6612.0,0.7861,zero position,108,-0.1791,-1154.43,0.0054,-0.1998,0.05,6445,6.6,0.001,6.6,0.0013,31.08,0.0048,26.12,0.005,105.79,6444.72,1,1,0,0,0,0.19493,0.13214
54,ASX_Trend_Following,SPS-200005.au,Long,1998-04-14,open,4720.0,1.417,1998-06-09,open,4720.0,1.1642,zero position,39,-0.1804,-1206.42,0.0939,-0.1743,0.05,6688,6.6,0.001,6.6,0.0012,33.04,0.0049,27.61,0.005,0.0,6688.24,1,1,0,0,0,0.0516,0.93465
